Word,Rank,Frequency,Pr(%),r*Pr
shew,606,321,0.0%,0.091096
solomon,607,321,0.0%,0.091246
fight,608,320,0.0%,0.091112
colonel,609,320,0.0%,0.091262
husband,610,320,0.0%,0.091411
fair,611,319,0.0%,0.091275
destroy,612,319,0.0%,0.091425
wilderness,613,319,0.0%,0.091574
places,614,318,0.0%,0.091436
delivered,615,317,0.0%,0.091297
low,616,317,0.0%,0.091445
gathered,617,316,0.0%,0.091305
stone,618,315,0.0%,0.091163
ve,619,315,0.0%,0.091311
continued,620,314,0.0%,0.091168
angel,621,314,0.0%,0.091315
please,622,314,0.0%,0.091462
righteousness,623,314,0.0%,0.091609
used,624,313,0.0%,0.091464
woodhouse,625,313,0.0%,0.091610
anger,626,312,0.0%,0.091464
longer,627,311,0.0%,0.091316
company,628,311,0.0%,0.091462
sense,629,310,0.0%,0.091313
wild,630,310,0.0%,0.091458
lest,631,310,0.0%,0.091603
ways,632,310,0.0%,0.091749
appeared,633,310,0.0%,0.091894
seem,634,310,0.0%,0.092039
party,635,310,0.0%,0.092184
already,636,310,0.0%,0.092329
forward,637,310,0.0%,0.092474
sake,638,309,0.0%,0.092321
darkness,639,309,0.0%,0.092466
deliver,640,308,0.0%,0.092311
carried,641,308,0.0%,0.092455
mary,642,307,0.0%,0.092298
hardly,643,307,0.0%,0.092442
ill,644,307,0.0%,0.092586
comes,645,305,0.0%,0.092126
close,646,305,0.0%,0.092268
hosts,647,304,0.0%,0.092108
use,648,304,0.0%,0.092251
followed,649,304,0.0%,0.092393
jane,650,303,0.0%,0.092231
covenant,651,302,0.0%,0.092068
common,652,302,0.0%,0.092209
born,653,302,0.0%,0.092351
died,654,302,0.0%,0.092492
oil,655,302,0.0%,0.092634
possible,656,301,0.0%,0.092468
babylon,657,299,0.0%,0.091994
idea,658,299,0.0%,0.092134
sleep,659,298,0.0%,0.091965
vain,660,297,0.0%,0.091795
care,661,297,0.0%,0.091935
general,662,296,0.0%,0.091764
line,663,296,0.0%,0.091902
thyself,664,295,0.0%,0.091730
standing,665,295,0.0%,0.091868
number,666,294,0.0%,0.091694
pretty,667,293,0.0%,0.091520
battle,668,293,0.0%,0.091657
concerning,669,292,0.0%,0.091481
receive,670,292,0.0%,0.091617
except,671,292,0.0%,0.091754
morrow,672,291,0.0%,0.091576
susan,673,291,0.0%,0.091713
fellow,674,291,0.0%,0.091849
silent,675,291,0.0%,0.091985
yourself,676,291,0.0%,0.092121
wait,677,291,0.0%,0.092258
perfect,678,291,0.0%,0.092394
means,679,290,0.0%,0.092212
hill,680,289,0.0%,0.092030
spoke,681,289,0.0%,0.092165
elliot,682,289,0.0%,0.092300
princes,683,288,0.0%,0.092116
feelings,684,287,0.0%,0.091930
doth,685,287,0.0%,0.092065
blue,686,287,0.0%,0.092199
early,687,287,0.0%,0.092334
sometimes,688,287,0.0%,0.092468
wisdom,689,287,0.0%,0.092602
girl,690,286,0.0%,0.092414
wilt,691,285,0.0%,0.092224
rise,692,285,0.0%,0.092357
window,693,285,0.0%,0.092491
became,694,285,0.0%,0.092624
play,695,285,0.0%,0.092758
state,696,284,0.0%,0.092565
wonder,697,284,0.0%,0.092698
cometh,698,283,0.0%,0.092504
iron,699,283,0.0%,0.092637
cold,700,281,0.0%,0.092114
grace,701,281,0.0%,0.092245
iniquity,702,280,0.0%,0.092048
